name,genotype,rel_imm
txvx1,hpv16,1
txvx1,hpv18,1
txvx1,hpv31,0.5
txvx1,hpv33,0.5
txvx1,hpv35,0.5
txvx1,hpv45,0.5
txvx1,hpv51,0.3
txvx1,hpv52,0.3
txvx1,hpv56,0.3
txvx1,hpv58,0.3
txvx1,hpv6,0.3
txvx1,hpv11,0.3
txvx1,hrhpv,0.5
txvx1,lrhpv,0.3
txvx2,hpv16,1
txvx2,hpv18,1
txvx2,hpv31,0.5
txvx2,hpv33,0.5
txvx2,hpv35,0.5
txvx2,hpv45,0.5
txvx2,hpv51,0.3
txvx2,hpv52,0.3
txvx2,hpv56,0.3
txvx2,hpv58,0.3
txvx2,hpv6,0.3
txvx2,hpv11,0.3
txvx2,hrhpv,0.5
txvx2,lrhpv,0.3
