Age,Year,Incidence,Sex,Country
10,1985,0,m,south africa
11,1985,0,m,south africa
12,1985,0.00000002,m,south africa
13,1985,0.0000002,m,south africa
14,1985,0.00000115,m,south africa
15,1985,0.00000533,m,south africa
16,1985,0.0000152,m,south africa
17,1985,0.00003,m,south africa
18,1985,0.0000536,m,south africa
19,1985,0.0000666,m,south africa
20,1985,0.0000786,m,south africa
21,1985,0.000091,m,south africa
22,1985,0.000104,m,south africa
23,1985,0.000119,m,south africa
24,1985,0.000134,m,south africa
25,1985,0.0002,m,south africa
26,1985,0.0002,m,south africa
27,1985,0.0002,m,south africa
28,1985,0.0002,m,south africa
29,1985,0.0002,m,south africa
30,1985,0.0002,m,south africa
31,1985,0.0002,m,south africa
32,1985,0.0002,m,south africa
33,1985,0.0002,m,south africa
34,1985,0.0002,m,south africa
35,1985,0.0002,m,south africa
36,1985,0.0002,m,south africa
37,1985,0.0002,m,south africa
38,1985,0.0002,m,south africa
39,1985,0.0002,m,south africa
40,1985,0.0002,m,south africa
41,1985,0.000183,m,south africa
42,1985,0.000171,m,south africa
43,1985,0.000158,m,south africa
44,1985,0.000145,m,south africa
45,1985,0.000132,m,south africa
46,1985,0.00012,m,south africa
47,1985,0.000109,m,south africa
48,1985,0.0000979,m,south africa
49,1985,0.0000875,m,south africa
50,1985,0.0000777,m,south africa
51,1985,0.0000686,m,south africa
52,1985,0.0000601,m,south africa
53,1985,0.0000524,m,south africa
54,1985,0.0000455,m,south africa
55,1985,0.0000393,m,south africa
56,1985,0.0000339,m,south africa
57,1985,0.0000291,m,south africa
58,1985,0.0000249,m,south africa
59,1985,0.0000213,m,south africa
60,1985,0.0000182,m,south africa
61,1985,0.0000155,m,south africa
62,1985,0.0000131,m,south africa
63,1985,0.0000111,m,south africa
64,1985,0.00000931,m,south africa
65,1985,0.00000782,m,south africa
66,1985,0.00000656,m,south africa
67,1985,0.00000549,m,south africa
68,1985,0.00000458,m,south africa
69,1985,0.00000382,m,south africa
70,1985,0.00000317,m,south africa
71,1985,0.00000263,m,south africa
72,1985,0.00000217,m,south africa
73,1985,0.00000178,m,south africa
74,1985,0.00000146,m,south africa
75,1985,0.0000012,m,south africa
76,1985,0.00000099,m,south africa
77,1985,0.00000081,m,south africa
78,1985,0.00000066,m,south africa
79,1985,0.00000053,m,south africa
80,1985,0.00000043,m,south africa
81,1985,0.00000035,m,south africa
82,1985,0.00000028,m,south africa
83,1985,0.00000023,m,south africa
84,1985,0.00000019,m,south africa
85,1985,0.00000016,m,south africa
86,1985,0.00000013,m,south africa
87,1985,0.00000012,m,south africa
88,1985,0.00000012,m,south africa
89,1985,0.00000013,m,south africa
90,1985,0.00000028,m,south africa
10,1986,0,m,south africa
11,1986,0,m,south africa
12,1986,0.00000008,m,south africa
13,1986,0.00000069,m,south africa
14,1986,0.0000039,m,south africa
15,1986,0.0000149,m,south africa
16,1986,0.0000405,m,south africa
17,1986,0.0000808,m,south africa
18,1986,0.0001,m,south africa
19,1986,0.0002,m,south africa
20,1986,0.0002,m,south africa
