Age,Year,Incidence,Sex,Country
21,1986,0.0003,m,south africa
22,1986,0.0003,m,south africa
23,1986,0.0004,m,south africa
24,1986,0.0005,m,south africa
25,1986,0.0005,m,south africa
26,1986,0.0006,m,south africa
27,1986,0.0007,m,south africa
28,1986,0.0008,m,south africa
29,1986,0.0008,m,south africa
30,1986,0.0009,m,south africa
31,1986,0.0009,m,south africa
32,1986,0.001,m,south africa
33,1986,0.001,m,south africa
34,1986,0.001,m,south africa
35,1986,0.001,m,south africa
36,1986,0.001,m,south africa
37,1986,0.001,m,south africa
38,1986,0.0009,m,south africa
39,1986,0.0009,m,south africa
40,1986,0.0008,m,south africa
41,1986,0.0008,m,south africa
42,1986,0.0007,m,south africa
43,1986,0.0007,m,south africa
44,1986,0.0006,m,south africa
45,1986,0.0006,m,south africa
46,1986,0.0005,m,south africa
47,1986,0.0005,m,south africa
48,1986,0.0004,m,south africa
49,1986,0.0004,m,south africa
50,1986,0.0003,m,south africa
51,1986,0.0003,m,south africa
52,1986,0.0003,m,south africa
53,1986,0.000223,m,south africa
54,1986,0.000194,m,south africa
55,1986,0.000168,m,south africa
56,1986,0.000145,m,south africa
57,1986,0.000125,m,south africa
58,1986,0.000107,m,south africa
59,1986,0.0000916,m,south africa
60,1986,0.0000782,m,south africa
61,1986,0.0000666,m,south africa
62,1986,0.0000566,m,south africa
63,1986,0.0000479,m,south africa
64,1986,0.0000404,m,south africa
65,1986,0.000034,m,south africa
66,1986,0.0000285,m,south africa
67,1986,0.0000239,m,south africa
68,1986,0.00002,m,south africa
69,1986,0.0000167,m,south africa
70,1986,0.0000139,m,south africa
71,1986,0.0000115,m,south africa
72,1986,0.00000955,m,south africa
73,1986,0.00000787,m,south africa
74,1986,0.00000645,m,south africa
75,1986,0.00000532,m,south africa
76,1986,0.00000438,m,south africa
77,1986,0.0000036,m,south africa
78,1986,0.00000294,m,south africa
79,1986,0.0000024,m,south africa
80,1986,0.00000195,m,south africa
81,1986,0.00000159,m,south africa
82,1986,0.00000129,m,south africa
83,1986,0.00000106,m,south africa
84,1986,0.00000088,m,south africa
85,1986,0.00000075,m,south africa
86,1986,0.00000067,m,south africa
87,1986,0.00000066,m,south africa
88,1986,0.00000073,m,south africa
89,1986,0.00000091,m,south africa
90+,1986,0.00000094,m,south africa
10,1987,0,m,south africa
11,1987,0.00000001,m,south africa
12,1987,0.00000019,m,south africa
13,1987,0.00000172,m,south africa
14,1987,0.00000992,m,south africa
15,1987,0.0000385,m,south africa
16,1987,0.000103,m,south africa
17,1987,0.0002,m,south africa
18,1987,0.0004,m,south africa
19,1987,0.0005,m,south africa
20,1987,0.0006,m,south africa
21,1987,0.0007,m,south africa
22,1987,0.0008,m,south africa
23,1987,0.001,m,south africa
24,1987,0.0012,m,south africa
25,1987,0.0014,m,south africa
26,1987,0.0016,m,south africa
27,1987,0.0018,m,south africa
28,1987,0.002,m,south africa
29,1987,0.0021,m,south africa
30,1987,0.0023,m,south africa
31,1987,0.0024,m,south africa
32,1987,0.0025,m,south africa
33,1987,0.0025,m,south africa
34,1987,0.0025,m,south africa
35,1987,0.0025,m,south africa
36,1987,0.0025,m,south africa
37,1987,0.0024,m,south africa
38,1987,0.0023,m,south africa
39,1987,0.0022,m,south africa
40,1987,0.0021,m,south africa
41,1987,0.002,m,south africa
42,1987,0.0018,m,south africa
43,1987,0.0017,m,south africa
44,1987,0.0015,m,south africa
45,1987,0.0014,m,south africa
46,1987,0.0013,m,south africa
47,1987,0.0011,m,south africa
48,1987,0.001,m,south africa
49,1987,0.0009,m,south africa
50,1987,0.0008,m,south africa
51,1987,0.0007,m,south africa
52,1987,0.0006,m,south africa
53,1987,0.0006,m,south africa
54,1987,0.0005,m,south africa
55,1987,0.0004,m,south africa
56,1987,0.0004,m,south africa
57,1987,0.0003,m,south africa
58,1987,0.0003,m,south africa
59,1987,0.000227,m,south africa
60,1987,0.000194,m,south africa
61,1987,0.000165,m,south africa
62,1987,0.00014,m,south africa
63,1987,0.000119,m,south africa
64,1987,0.0001,m,south africa
65,1987,0.0000844,m,south africa
66,1987,0.0000709,m,south africa
67,1987,0.0000594,m,south africa
68,1987,0.0000497,m,south africa
69,1987,0.0000416,m,south africa
70,1987,0.0000346,m,south africa
71,1987,0.0000288,m,south africa
72,1987,0.0000239,m,south africa
73,1987,0.0000198,m,south africa
74,1987,0.0000163,m,south africa
75,1987,0.0000134,m,south africa
76,1987,0.000011,m,south africa
77,1987,0.0000091,m,south africa
78,1987,0.00000749,m,south africa
79,1987,0.00000614,m,south africa
80,1987,0.00000502,m,south africa
81,1987,0.0000041,m,south africa
82,1987,0.00000336,m,south africa
83,1987,0.00000276,m,south africa
84,1987,0.0000023,m,south africa
85,1987,0.00000199,m,south africa
86,1987,0.00000183,m,south africa
87,1987,0.00000184,m,south africa
88,1987,0.000002,m,south africa
89,1987,0.00000233,m,south africa
90+,1987,0.00000324,m,south africa
10,1988,0,m,south africa
11,1988,0.00000002,m,south africa
12,1988,0.0000004,m,south africa
13,1988,0.00000382,m,south africa
14,1988,0.0000224,m,south africa
15,1988,0.000088,m,south africa
16,1988,0.0002,m,south africa
17,1988,0.0005,m,south africa
18,1988,0.0008,m,south africa
19,1988,0.0011,m,south africa
20,1988,0.0013,m,south africa
21,1988,0.0015,m,south africa
22,1988,0.0018,m,south africa
23,1988,0.0021,m,south africa
24,1988,0.0024,m,south africa
25,1988,0.0028,m,south africa
26,1988,0.0031,m,south africa
27,1988,0.0035,m,south africa
28,1988,0.0038,m,south africa
29,1988,0.0041,m,south africa
30,1988,0.0043,m,south africa
31,1988,0.0046,m,south africa
32,1988,0.0047,m,south africa
33,1988,0.0048,m,south africa
34,1988,0.0048,m,south africa
35,1988,0.0048,m,south africa
36,1988,0.0047,m,south africa
37,1988,0.0045,m,south africa
38,1988,0.0044,m,south africa
39,1988,0.0042,m,south africa
40,1988,0.0039,m,south africa
41,1988,0.0037,m,south africa
42,1988,0.0034,m,south africa
43,1988,0.0032,m,south africa
44,1988,0.0029,m,south africa
45,1988,0.0026,m,south africa
46,1988,0.0024,m,south africa
47,1988,0.0022,m,south africa
48,1988,0.0019,m,south africa
49,1988,0.0017,m,south africa
50,1988,0.0015,m,south africa
51,1988,0.0013,m,south africa
52,1988,0.0012,m,south africa
53,1988,0.001,m,south africa
54,1988,0.0009,m,south africa
55,1988,0.0008,m,south africa
56,1988,0.0007,m,south africa
57,1988,0.0006,m,south africa
58,1988,0.0005,m,south africa
59,1988,0.0004,m,south africa
60,1988,0.0004,m,south africa
61,1988,0.0003,m,south africa
62,1988,0.0003,m,south africa
63,1988,0.0002,m,south africa
64,1988,0.000187,m,south africa
65,1988,0.000158,m,south africa
66,1988,0.000132,m,south africa
67,1988,0.000111,m,south africa
68,1988,0.0000929,m,south africa
69,1988,0.0000777,m,south africa
70,1988,0.0000649,m,south africa
71,1988,0.0000541,m,south africa
72,1988,0.000045,m,south africa
73,1988,0.0000375,m,south africa
74,1988,0.000031,m,south africa
75,1988,0.0000256,m,south africa
76,1988,0.000021,m,south africa
77,1988,0.0000174,m,south africa
78,1988,0.0000144,m,south africa
79,1988,0.0000119,m,south africa
80,1988,0.00000984,m,south africa
81,1988,0.0000081,m,south africa
82,1988,0.00000667,m,south africa
83,1988,0.00000553,m,south africa
84,1988,0.00000461,m,south africa
85,1988,0.00000399,m,south africa
86,1988,0.00000366,m,south africa
87,1988,0.00000363,m,south africa
88,1988,0.00000385,m,south africa
89,1988,0.00000423,m,south africa
90+,1988,0.00000575,m,south africa
10,1989,0,m,south africa
11,1989,0.00000004,m,south africa
12,1989,0.00000078,m,south africa
13,1989,0.00000755,m,south africa
14,1989,0.0000449,m,south africa
15,1989,0.0002,m,south africa
16,1989,0.0005,m,south africa
17,1989,0.0009,m,south africa
18,1989,0.0017,m,south africa
19,1989,0.0021,m,south africa
20,1989,0.0025,m,south africa
21,1989,0.0029,m,south africa
22,1989,0.0033,m,south africa
23,1989,0.0037,m,south africa
24,1989,0.0041,m,south africa
25,1989,0.0046,m,south africa
26,1989,0.0051,m,south africa
27,1989,0.0056,m,south africa
28,1989,0.0061,m,south africa
29,1989,0.0065,m,south africa
30,1989,0.0069,m,south africa
31,1989,0.0071,m,south africa
32,1989,0.0073,m,south africa
33,1989,0.0074,m,south africa
34,1989,0.0074,m,south africa
35,1989,0.0073,m,south africa
36,1989,0.0072,m,south africa
37,1989,0.0069,m,south africa
38,1989,0.0067,m,south africa
39,1989,0.0063,m,south africa
40,1989,0.006,m,south africa
41,1989,0.0056,m,south africa
42,1989,0.0052,m,south africa
43,1989,0.0048,m,south africa
44,1989,0.0044,m,south africa
45,1989,0.004,m,south africa
46,1989,0.0036,m,south africa
47,1989,0.0033,m,south africa
48,1989,0.0029,m,south africa
49,1989,0.0026,m,south africa
50,1989,0.0023,m,south africa
51,1989,0.002,m,south africa
52,1989,0.0018,m,south africa
53,1989,0.0016,m,south africa
54,1989,0.0014,m,south africa
55,1989,0.0012,m,south africa
56,1989,0.001,m,south africa
57,1989,0.0009,m,south africa
58,1989,0.0008,m,south africa
59,1989,0.0006,m,south africa
60,1989,0.0006,m,south africa
61,1989,0.0005,m,south africa
62,1989,0.0004,m,south africa
63,1989,0.0003,m,south africa
64,1989,0.0003,m,south africa
65,1989,0.0002,m,south africa
66,1989,0.0002,m,south africa
67,1989,0.0002,m,south africa
68,1989,0.000143,m,south africa
69,1989,0.000119,m,south africa
70,1989,0.0001,m,south africa
71,1989,0.0000838,m,south africa
72,1989,0.0000701,m,south africa
73,1989,0.0000585,m,south africa
74,1989,0.0000489,m,south africa
75,1989,0.0000407,m,south africa
76,1989,0.0000337,m,south africa
77,1989,0.0000277,m,south africa
78,1989,0.0000232,m,south africa
79,1989,0.0000195,m,south africa
80,1989,0.0000163,m,south africa
81,1989,0.0000135,m,south africa
82,1989,0.0000113,m,south africa
83,1989,0.00000943,m,south africa
84,1989,0.000008,m,south africa
85,1989,0.00000683,m,south africa
86,1989,0.0000062,m,south africa
87,1989,0.00000602,m,south africa
88,1989,0.0000062,m,south africa
89,1989,0.00000657,m,south africa
90+,1989,0.0000082,m,south africa
10,1990,0,m,south africa
11,1990,0.00000006,m,south africa
12,1990,0.00000138,m,south africa
13,1990,0.0000135,m,south africa
14,1990,0.000081,m,south africa
15,1990,0.0003,m,south africa
16,1990,0.0009,m,south africa
17,1990,0.0017,m,south africa
18,1990,0.0031,m,south africa
19,1990,0.0037,m,south africa
20,1990,0.0043,m,south africa
21,1990,0.0048,m,south africa
22,1990,0.0053,m,south africa
23,1990,0.0058,m,south africa
24,1990,0.0064,m,south africa
25,1990,0.0069,m,south africa
26,1990,0.0075,m,south africa
27,1990,0.0081,m,south africa
28,1990,0.0086,m,south africa
29,1990,0.0091,m,south africa
30,1990,0.0094,m,south africa
31,1990,0.0097,m,south africa
32,1990,0.0099,m,south africa
33,1990,0.01,m,south africa
34,1990,0.0099,m,south africa
35,1990,0.0098,m,south africa
36,1990,0.0095,m,south africa
37,1990,0.0092,m,south africa
38,1990,0.0088,m,south africa
39,1990,0.0084,m,south africa
40,1990,0.0079,m,south africa
41,1990,0.0074,m,south africa
42,1990,0.0069,m,south africa
43,1990,0.0064,m,south africa
44,1990,0.0059,m,south africa
45,1990,0.0053,m,south africa
46,1990,0.0048,m,south africa
47,1990,0.0044,m,south africa
48,1990,0.0039,m,south africa
49,1990,0.0035,m,south africa
50,1990,0.0031,m,south africa
51,1990,0.0027,m,south africa
52,1990,0.0024,m,south africa
53,1990,0.0021,m,south africa
54,1990,0.0018,m,south africa
55,1990,0.0016,m,south africa
56,1990,0.0014,m,south africa
57,1990,0.0012,m,south africa
58,1990,0.001,m,south africa
59,1990,0.0009,m,south africa
60,1990,0.0007,m,south africa
61,1990,0.0006,m,south africa
62,1990,0.0005,m,south africa
63,1990,0.0005,m,south africa
64,1990,0.0004,m,south africa
65,1990,0.0003,m,south africa
66,1990,0.0003,m,south africa
67,1990,0.0002,m,south africa
68,1990,0.0002,m,south africa
69,1990,0.0002,m,south africa
70,1990,0.000137,m,south africa
71,1990,0.000115,m,south africa
72,1990,0.000097,m,south africa
73,1990,0.0000817,m,south africa
74,1990,0.0000688,m,south africa
75,1990,0.0000581,m,south africa
76,1990,0.0000489,m,south africa
77,1990,0.0000408,m,south africa
78,1990,0.0000336,m,south africa
79,1990,0.0000288,m,south africa
80,1990,0.0000245,m,south africa
81,1990,0.0000209,m,south africa
82,1990,0.0000177,m,south africa
83,1990,0.000015,m,south africa
84,1990,0.0000128,m,south africa
85,1990,0.0000112,m,south africa
86,1990,0.00000984,m,south africa
87,1990,0.00000931,m,south africa
88,1990,0.00000926,m,south africa
89,1990,0.00000947,m,south africa
90+,1990,0.0000108,m,south africa
10,1991,0,m,south africa
11,1991,0.00000011,m,south africa
12,1991,0.00000225,m,south africa
13,1991,0.0000222,m,south africa
14,1991,0.000134,m,south africa
15,1991,0.0005,m,south africa
16,1991,0.0014,m,south africa
17,1991,0.0028,m,south africa
18,1991,0.005,m,south africa
19,1991,0.0061,m,south africa
20,1991,0.0069,m,south africa
21,1991,0.0076,m,south africa
22,1991,0.0082,m,south africa
23,1991,0.0087,m,south africa
24,1991,0.0092,m,south africa
25,1991,0.0098,m,south africa
26,1991,0.0103,m,south africa
27,1991,0.0108,m,south africa
28,1991,0.0113,m,south africa
29,1991,0.0118,m,south africa
30,1991,0.0121,m,south africa
31,1991,0.0123,m,south africa
32,1991,0.0124,m,south africa
33,1991,0.0124,m,south africa
34,1991,0.0123,m,south africa
35,1991,0.0121,m,south africa
36,1991,0.0117,m,south africa
37,1991,0.0113,m,south africa
38,1991,0.0108,m,south africa
39,1991,0.0103,m,south africa
40,1991,0.0097,m,south africa
41,1991,0.0091,m,south africa
42,1991,0.0084,m,south africa
43,1991,0.0078,m,south africa
44,1991,0.0072,m,south africa
45,1991,0.0065,m,south africa
46,1991,0.0059,m,south africa
47,1991,0.0054,m,south africa
48,1991,0.0048,m,south africa
49,1991,0.0043,m,south africa
50,1991,0.0038,m,south africa
51,1991,0.0033,m,south africa
52,1991,0.0029,m,south africa
53,1991,0.0026,m,south africa
54,1991,0.0022,m,south africa
55,1991,0.002,m,south africa
56,1991,0.0017,m,south africa
57,1991,0.0015,m,south africa
58,1991,0.0013,m,south africa
59,1991,0.0011,m,south africa
60,1991,0.0009,m,south africa
61,1991,0.0008,m,south africa
62,1991,0.0007,m,south africa
63,1991,0.0006,m,south africa
64,1991,0.0005,m,south africa
65,1991,0.0004,m,south africa
66,1991,0.0004,m,south africa
67,1991,0.0003,m,south africa
68,1991,0.0003,m,south africa
69,1991,0.0002,m,south africa
70,1991,0.0002,m,south africa
71,1991,0.0002,m,south africa
72,1991,0.000127,m,south africa
73,1991,0.000108,m,south africa
74,1991,0.0000925,m,south africa
75,1991,0.0000789,m,south africa
76,1991,0.0000679,m,south africa
77,1991,0.000058,m,south africa
78,1991,0.000049,m,south africa
79,1991,0.0000407,m,south africa
80,1991,0.0000357,m,south africa
81,1991,0.0000312,m,south africa
82,1991,0.0000271,m,south africa
83,1991,0.0000234,m,south africa
84,1991,0.0000203,m,south africa
85,1991,0.0000179,m,south africa
86,1991,0.0000162,m,south africa
87,1991,0.0000145,m,south africa
88,1991,0.000014,m,south africa
89,1991,0.0000139,m,south africa
90+,1991,0.000015,m,south africa
10,1992,0,m,south africa
11,1992,0.00000016,m,south africa
12,1992,0.00000338,m,south africa
13,1992,0.0000335,m,south africa
14,1992,0.0002,m,south africa
15,1992,0.0008,m,south africa
16,1992,0.0022,m,south africa
17,1992,0.0042,m,south africa
18,1992,0.0074,m,south africa
19,1992,0.0089,m,south africa
20,1992,0.01,m,south africa
21,1992,0.0108,m,south africa
22,1992,0.0115,m,south africa
23,1992,0.0121,m,south africa
24,1992,0.0125,m,south africa
25,1992,0.0129,m,south africa
26,1992,0.0133,m,south africa
27,1992,0.0137,m,south africa
28,1992,0.0141,m,south africa
29,1992,0.0145,m,south africa
30,1992,0.0146,m,south africa
31,1992,0.0147,m,south africa
32,1992,0.0147,m,south africa
33,1992,0.0146,m,south africa
34,1992,0.0143,m,south africa
35,1992,0.014,m,south africa
36,1992,0.0136,m,south africa
37,1992,0.0131,m,south africa
38,1992,0.0125,m,south africa
39,1992,0.0118,m,south africa
40,1992,0.0112,m,south africa
41,1992,0.0104,m,south africa
42,1992,0.0097,m,south africa
43,1992,0.009,m,south africa
44,1992,0.0083,m,south africa
45,1992,0.0076,m,south africa
46,1992,0.0069,m,south africa
47,1992,0.0062,m,south africa
48,1992,0.0056,m,south africa
49,1992,0.005,m,south africa
50,1992,0.0044,m,south africa
51,1992,0.0039,m,south africa
52,1992,0.0034,m,south africa
53,1992,0.003,m,south africa
54,1992,0.0026,m,south africa
55,1992,0.0023,m,south africa
56,1992,0.002,m,south africa
57,1992,0.0017,m,south africa
58,1992,0.0015,m,south africa
59,1992,0.0013,m,south africa
60,1992,0.0011,m,south africa
61,1992,0.0009,m,south africa
62,1992,0.0008,m,south africa
63,1992,0.0007,m,south africa
64,1992,0.0006,m,south africa
65,1992,0.0005,m,south africa
66,1992,0.0004,m,south africa
67,1992,0.0004,m,south africa
68,1992,0.0003,m,south africa
69,1992,0.0003,m,south africa
70,1992,0.0002,m,south africa
71,1992,0.0002,m,south africa
72,1992,0.0002,m,south africa
73,1992,0.00014,m,south africa
74,1992,0.000121,m,south africa
75,1992,0.000105,m,south africa
76,1992,0.0000914,m,south africa
77,1992,0.0000804,m,south africa
78,1992,0.00007,m,south africa
79,1992,0.0000601,m,south africa
80,1992,0.0000505,m,south africa
81,1992,0.0000456,m,south africa
82,1992,0.0000411,m,south africa
83,1992,0.0000366,m,south africa
84,1992,0.0000324,m,south africa
85,1992,0.0000287,m,south africa
86,1992,0.0000257,m,south africa
87,1992,0.0000236,m,south africa
88,1992,0.0000214,m,south africa
89,1992,0.0000213,m,south africa
90+,1992,0.0000269,m,south africa
10,1993,0,m,south africa
11,1993,0.00000022,m,south africa
12,1993,0.00000462,m,south africa
13,1993,0.0000462,m,south africa
14,1993,0.0003,m,south africa
15,1993,0.0011,m,south africa
16,1993,0.003,m,south africa
17,1993,0.0057,m,south africa
18,1993,0.01,m,south africa
19,1993,0.0119,m,south africa
20,1993,0.0132,m,south africa
21,1993,0.0142,m,south africa
22,1993,0.015,m,south africa
23,1993,0.0156,m,south africa
24,1993,0.016,m,south africa
25,1993,0.0162,m,south africa
26,1993,0.0164,m,south africa
27,1993,0.0166,m,south africa
28,1993,0.0168,m,south africa
29,1993,0.017,m,south africa
30,1993,0.017,m,south africa
31,1993,0.0169,m,south africa
32,1993,0.0167,m,south africa
33,1993,0.0165,m,south africa
34,1993,0.0161,m,south africa
35,1993,0.0156,m,south africa
36,1993,0.0151,m,south africa
37,1993,0.0145,m,south africa
38,1993,0.0138,m,south africa
39,1993,0.0131,m,south africa
40,1993,0.0124,m,south africa
41,1993,0.0116,m,south africa
42,1993,0.0108,m,south africa
43,1993,0.01,m,south africa
44,1993,0.0092,m,south africa
45,1993,0.0085,m,south africa
46,1993,0.0077,m,south africa
47,1993,0.007,m,south africa
48,1993,0.0063,m,south africa
49,1993,0.0057,m,south africa
50,1993,0.005,m,south africa
51,1993,0.0044,m,south africa
52,1993,0.0039,m,south africa
53,1993,0.0034,m,south africa
54,1993,0.003,m,south africa
55,1993,0.0026,m,south africa
56,1993,0.0023,m,south africa
57,1993,0.002,m,south africa
58,1993,0.0017,m,south africa
59,1993,0.0015,m,south africa
60,1993,0.0013,m,south africa
61,1993,0.0011,m,south africa
62,1993,0.0009,m,south africa
63,1993,0.0008,m,south africa
64,1993,0.0007,m,south africa
65,1993,0.0006,m,south africa
66,1993,0.0005,m,south africa
67,1993,0.0004,m,south africa
68,1993,0.0004,m,south africa
69,1993,0.0003,m,south africa
70,1993,0.0003,m,south africa
71,1993,0.0002,m,south africa
72,1993,0.0002,m,south africa
73,1993,0.0002,m,south africa
74,1993,0.000155,m,south africa
75,1993,0.000137,m,south africa
76,1993,0.000121,m,south africa
77,1993,0.000108,m,south africa
78,1993,0.000097,m,south africa
79,1993,0.0000863,m,south africa
80,1993,0.0000753,m,south africa
81,1993,0.000064,m,south africa
82,1993,0.0000595,m,south africa
83,1993,0.0000548,m,south africa
84,1993,0.0000499,m,south africa
85,1993,0.0000449,m,south africa
86,1993,0.0000405,m,south africa
87,1993,0.0000371,m,south africa
88,1993,0.000035,m,south africa
89,1993,0.0000331,m,south africa
90+,1993,0.0000448,m,south africa
10,1994,0,m,south africa
11,1994,0.00000027,m,south africa
12,1994,0.00000584,m,south africa
13,1994,0.0000586,m,south africa
14,1994,0.0004,m,south africa
15,1994,0.0014,m,south africa
16,1994,0.0037,m,south africa
17,1994,0.0071,m,south africa
18,1994,0.0124,m,south africa
19,1994,0.0147,m,south africa
20,1994,0.0163,m,south africa
21,1994,0.0174,m,south africa
22,1994,0.0182,m,south africa
23,1994,0.0188,m,south africa
24,1994,0.0191,m,south africa
25,1994,0.0193,m,south africa
26,1994,0.0194,m,south africa
27,1994,0.0193,m,south africa
28,1994,0.0193,m,south africa
29,1994,0.0193,m,south africa
30,1994,0.019,m,south africa
31,1994,0.0188,m,south africa
32,1994,0.0184,m,south africa
33,1994,0.018,m,south africa
34,1994,0.0175,m,south africa
35,1994,0.0169,m,south africa
36,1994,0.0163,m,south africa
37,1994,0.0156,m,south africa
38,1994,0.0148,m,south africa
39,1994,0.0141,m,south africa
40,1994,0.0133,m,south africa
41,1994,0.0125,m,south africa
42,1994,0.0116,m,south africa
43,1994,0.0108,m,south africa
44,1994,0.01,m,south africa
45,1994,0.0092,m,south africa
46,1994,0.0084,m,south africa
47,1994,0.0076,m,south africa
48,1994,0.0069,m,south africa
49,1994,0.0062,m,south africa
50,1994,0.0056,m,south africa
51,1994,0.0049,m,south africa
52,1994,0.0044,m,south africa
53,1994,0.0038,m,south africa
54,1994,0.0033,m,south africa
55,1994,0.0029,m,south africa
56,1994,0.0026,m,south africa
57,1994,0.0022,m,south africa
58,1994,0.0019,m,south africa
59,1994,0.0017,m,south africa
60,1994,0.0015,m,south africa
61,1994,0.0013,m,south africa
62,1994,0.0011,m,south africa
63,1994,0.0009,m,south africa
64,1994,0.0008,m,south africa
65,1994,0.0007,m,south africa
66,1994,0.0006,m,south africa
67,1994,0.0005,m,south africa
68,1994,0.0005,m,south africa
69,1994,0.0004,m,south africa
70,1994,0.0003,m,south africa
71,1994,0.0003,m,south africa
72,1994,0.0003,m,south africa
73,1994,0.0002,m,south africa
74,1994,0.0002,m,south africa
75,1994,0.000172,m,south africa
76,1994,0.000156,m,south africa
77,1994,0.000141,m,south africa
78,1994,0.000128,m,south africa
79,1994,0.000118,m,south africa
80,1994,0.000107,m,south africa
81,1994,0.0000944,m,south africa
82,1994,0.0000813,m,south africa
83,1994,0.0000772,m,south africa
84,1994,0.0000725,m,south africa
85,1994,0.000067,m,south africa
86,1994,0.0000615,m,south africa
87,1994,0.0000566,m,south africa
88,1994,0.0000531,m,south africa
89,1994,0.000052,m,south africa
90+,1994,0.0000673,m,south africa
10,1995,0,m,south africa
11,1995,0.00000032,m,south africa
12,1995,0.00000688,m,south africa
13,1995,0.0000695,m,south africa
14,1995,0.0004,m,south africa
15,1995,0.0017,m,south africa
16,1995,0.0044,m,south africa
17,1995,0.0084,m,south africa
18,1995,0.0145,m,south africa
19,1995,0.0171,m,south africa
20,1995,0.0187,m,south africa
21,1995,0.0199,m,south africa
22,1995,0.0207,m,south africa
23,1995,0.0213,m,south africa
24,1995,0.0217,m,south africa
25,1995,0.0218,m,south africa
26,1995,0.0218,m,south africa
27,1995,0.0216,m,south africa
28,1995,0.0214,m,south africa
29,1995,0.0212,m,south africa
30,1995,0.0207,m,south africa
31,1995,0.0202,m,south africa
32,1995,0.0197,m,south africa
33,1995,0.0191,m,south africa
34,1995,0.0185,m,south africa
35,1995,0.0178,m,south africa
36,1995,0.017,m,south africa
37,1995,0.0163,m,south africa
38,1995,0.0155,m,south africa
39,1995,0.0147,m,south africa
40,1995,0.0139,m,south africa
41,1995,0.0131,m,south africa
42,1995,0.0122,m,south africa
43,1995,0.0114,m,south africa
44,1995,0.0105,m,south africa
45,1995,0.0097,m,south africa
46,1995,0.0089,m,south africa
47,1995,0.0081,m,south africa
48,1995,0.0074,m,south africa
49,1995,0.0067,m,south africa
50,1995,0.006,m,south africa
51,1995,0.0054,m,south africa
52,1995,0.0047,m,south africa
53,1995,0.0042,m,south africa
54,1995,0.0036,m,south africa
55,1995,0.0032,m,south africa
56,1995,0.0028,m,south africa
57,1995,0.0024,m,south africa
58,1995,0.0021,m,south africa
59,1995,0.0019,m,south africa
60,1995,0.0016,m,south africa
